X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 8
1.86,7
4.28,7
6.7,7
9.12,7
11.54,7
13.96,7
16.38,7
18.8,6
21.22,7
23.64,7
26.06,6
28.48,6
30.9,6
33.32,6
35.74,6
38.16,6
40.58,6
43,6
45.42,5
47.84,5
50.26,6
52.68,6
55.1,6
57.52,6
59.94,6
62.36,5
64.78,5
67.2,5
69.62,5
72.04,5
74.46,7
76.88,7
79.3,7
81.72,7
84.14,7
86.56,8
88.98,8
91.4,8
93.82,8
96.24,8
98.66,8
101.08,9
103.5,8
105.92,8
108.34,8
110.76,8
113.18,8
115.6,8
118.02,8
120.44,8
122.86,8
125.28,8
127.7,9
130.12,9
132.54,9
134.96,9
137.38,9
139.8,8
142.22,8
144.64,8
147.06,7
149.48,7
151.9,8
154.32,8
156.74,8
159.16,9
161.58,9
164,8
166.42,8
168.84,8
171.26,8
173.68,8
176.1,8
178.52,8
180.94,8
183.36,8
185.78,8
188.2,8
190.62,8
193.04,8
195.46,8
197.88,8
200.3,8
202.72,8
205.14,9
207.56,9
209.98,9
212.4,9
214.82,8
217.24,8
219.66,8
222.08,7
224.5,7
226.92,7
229.34,7
231.76,7
234.18,7
236.6,7
239.02,7
241.44,7
243.86,7
246.28,7
248.7,6
251.12,7
253.54,7
255.96,7
258.38,7
260.8,7
263.22,7
265.64,8
268.06,8
270.48,7
272.9,7
275.32,7
277.74,7
280.16,7
282.58,7
285,7
287.42,6
289.84,6
292.26,6
294.68,6
297.1,6
299.52,6
301.94,6
304.36,6
306.78,5
309.2,5
311.62,5
314.04,5
316.46,5
318.88,5
321.3,5
323.72,5
326.14,5
328.56,5
330.98,5
333.4,5
335.82,6
338.24,6
340.66,6
343.08,6
345.5,6
347.92,6
350.34,6
352.76,6
355.18,7
357.6,7
360.02,7
362.44,7
364.86,7
367.28,7
369.7,7
372.12,7
374.54,8
376.96,9
379.38,9
381.8,9
384.22,8
386.64,8
389.06,8
391.48,8
393.9,8
396.32,10
398.74,9
401.16,8
403.58,8
406,8
408.42,8
410.84,8
413.26,8
415.68,8
418.1,8
420.52,9
422.94,8
425.36,8
427.78,9
430.2,9
432.62,8
435.04,8
437.46,8
439.88,8
442.3,9
444.72,9
447.14,9
449.56,9
451.98,9
454.4,8
456.82,8
459.24,8
461.66,8
464.08,8
466.5,8
468.92,9
471.34,9
473.76,9
476.18,9
478.6,10
481.02,10
483.44,10
