X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 12
1.86,7
4.28,7
6.7,7
9.12,8
11.54,8
13.96,8
16.38,8
18.8,10
21.22,10
23.64,10
26.06,10
28.48,11
30.9,12
33.32,12
35.74,12
38.16,13
40.58,14
43,14
45.42,14
47.84,14
50.26,14
52.68,12
55.1,13
57.52,13
59.94,13
62.36,13
64.78,13
67.2,14
69.62,14
72.04,13
74.46,13
76.88,12
79.3,12
81.72,13
84.14,13
86.56,11
88.98,13
91.4,13
93.82,13
96.24,13
98.66,13
101.08,12
103.5,11
105.92,11
108.34,9
110.76,11
113.18,11
115.6,10
118.02,11
120.44,11
122.86,11
125.28,11
127.7,11
130.12,11
132.54,11
134.96,11
137.38,11
139.8,11
142.22,11
144.64,11
147.06,11
149.48,12
151.9,12
154.32,12
156.74,11
159.16,11
161.58,12
164,12
166.42,12
168.84,12
171.26,11
173.68,9
176.1,9
178.52,9
180.94,9
183.36,8
185.78,8
188.2,8
190.62,8
193.04,8
195.46,8
197.88,8
200.3,8
202.72,8
205.14,8
207.56,9
209.98,9
212.4,10
214.82,9
217.24,9
219.66,9
222.08,9
224.5,9
226.92,9
229.34,9
231.76,9
234.18,10
236.6,10
239.02,11
241.44,11
243.86,11
246.28,10
248.7,10
251.12,11
253.54,10
255.96,11
258.38,11
260.8,11
263.22,11
265.64,12
268.06,11
270.48,12
272.9,11
275.32,11
277.74,10
280.16,9
282.58,8
285,8
287.42,8
289.84,8
292.26,8
294.68,8
297.1,8
299.52,7
301.94,7
304.36,7
306.78,7
309.2,6
311.62,6
314.04,7
316.46,7
318.88,8
321.3,8
323.72,9
326.14,9
328.56,10
330.98,9
333.4,10
335.82,10
338.24,11
340.66,10
343.08,10
345.5,10
347.92,10
350.34,10
352.76,10
355.18,10
357.6,10
360.02,10
362.44,10
364.86,11
367.28,10
369.7,10
372.12,10
374.54,9
376.96,10
379.38,10
381.8,10
384.22,10
386.64,10
389.06,10
391.48,11
393.9,12
396.32,11
398.74,11
401.16,11
403.58,11
406,11
408.42,11
410.84,10
413.26,10
415.68,10
418.1,10
420.52,10
422.94,10
425.36,10
427.78,10
430.2,10
432.62,10
435.04,10
437.46,10
439.88,9
442.3,10
444.72,8
447.14,7
449.56,8
451.98,9
454.4,9
456.82,9
459.24,8
461.66,8
464.08,8
466.5,8
468.92,8
471.34,8
473.76,8
476.18,8
478.6,8
481.02,8
483.44,8
