X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,7
4.28,5
6.7,7
9.12,7
11.54,7
13.96,7
16.38,6
18.8,7
21.22,7
23.64,7
26.06,7
28.48,7
30.9,7
33.32,7
35.74,7
38.16,8
40.58,6
43,7
45.42,7
47.84,7
50.26,6
52.68,7
55.1,6
57.52,7
59.94,7
62.36,7
64.78,7
67.2,7
69.62,7
72.04,5
74.46,7
76.88,5
79.3,4
81.72,6
84.14,6
86.56,6
88.98,6
91.4,5
93.82,5
96.24,6
98.66,6
101.08,5
103.5,4
105.92,5
108.34,5
110.76,6
113.18,6
115.6,5
118.02,3
120.44,5
122.86,6
125.28,6
127.7,6
130.12,6
132.54,5
134.96,4
137.38,6
139.8,5
142.22,7
144.64,6
147.06,5
149.48,7
151.9,8
154.32,8
156.74,6
159.16,7
161.58,7
164,7
166.42,7
168.84,7
171.26,8
173.68,8
176.1,7
178.52,7
180.94,7
183.36,6
185.78,6
188.2,7
190.62,6
193.04,7
195.46,7
197.88,7
200.3,7
202.72,7
205.14,7
207.56,7
209.98,7
212.4,7
214.82,7
217.24,7
219.66,6
222.08,6
224.5,5
226.92,4
229.34,4
231.76,4
234.18,6
236.6,6
239.02,6
241.44,7
243.86,7
246.28,7
248.7,7
251.12,7
253.54,7
255.96,7
258.38,7
260.8,7
263.22,7
265.64,7
268.06,6
270.48,6
272.9,5
275.32,5
277.74,6
280.16,6
282.58,6
285,5
287.42,6
289.84,6
292.26,6
294.68,6
297.1,6
299.52,6
301.94,6
304.36,6
306.78,6
309.2,6
311.62,7
314.04,7
316.46,7
318.88,7
321.3,7
323.72,7
326.14,8
328.56,8
330.98,9
333.4,9
335.82,8
338.24,8
340.66,7
343.08,7
345.5,7
347.92,7
350.34,7
352.76,7
355.18,7
357.6,7
360.02,7
362.44,7
364.86,7
367.28,7
369.7,7
372.12,9
374.54,9
376.96,9
379.38,8
381.8,7
384.22,7
386.64,7
389.06,7
391.48,7
393.9,7
396.32,7
398.74,7
401.16,7
403.58,7
406,7
408.42,7
410.84,7
413.26,8
415.68,8
418.1,8
420.52,8
422.94,8
425.36,8
427.78,8
430.2,7
432.62,7
435.04,7
437.46,7
439.88,7
442.3,6
444.72,6
447.14,5
449.56,5
451.98,6
454.4,6
456.82,6
459.24,6
461.66,5
464.08,4
466.5,4
468.92,5
471.34,4
473.76,5
476.18,5
478.6,4
481.02,5
483.44,5
