X,ieee802154Narrow.anchor[8].appl/Number of AN Reports with ACK
1.86,40
4.28,48
6.7,50
9.12,50
11.54,50
13.96,51
16.38,46
18.8,51
21.22,48
23.64,50
26.06,58
28.48,54
30.9,61
33.32,60
35.74,59
38.16,65
40.58,63
43,64
45.42,64
47.84,64
50.26,63
52.68,65
55.1,65
57.52,63
59.94,62
62.36,59
64.78,59
67.2,57
69.62,54
72.04,59
74.46,55
76.88,57
79.3,57
81.72,54
84.14,52
86.56,53
88.98,52
91.4,59
93.82,61
96.24,59
98.66,56
101.08,57
103.5,58
105.92,55
108.34,55
110.76,54
113.18,54
115.6,53
118.02,52
120.44,51
122.86,51
125.28,53
127.7,52
130.12,53
132.54,53
134.96,53
137.38,55
139.8,54
142.22,54
144.64,54
147.06,53
149.48,52
151.9,54
154.32,55
156.74,56
159.16,56
161.58,51
164,54
166.42,60
168.84,56
171.26,59
173.68,55
176.1,59
178.52,59
180.94,61
183.36,61
185.78,59
188.2,55
190.62,60
193.04,60
195.46,58
197.88,62
200.3,64
202.72,61
205.14,62
207.56,60
209.98,60
212.4,59
214.82,61
217.24,59
219.66,56
222.08,57
224.5,57
226.92,58
229.34,60
231.76,59
234.18,59
236.6,55
239.02,58
241.44,59
243.86,58
246.28,59
248.7,59
251.12,55
253.54,54
255.96,56
258.38,55
260.8,52
263.22,55
265.64,60
268.06,57
270.48,59
272.9,55
275.32,56
277.74,55
280.16,53
282.58,52
285,50
287.42,49
289.84,50
292.26,50
294.68,51
297.1,49
299.52,52
301.94,51
304.36,51
306.78,52
309.2,52
311.62,51
314.04,51
316.46,49
318.88,49
321.3,48
323.72,48
326.14,49
328.56,50
330.98,49
333.4,48
335.82,50
338.24,51
340.66,51
343.08,49
345.5,52
347.92,51
350.34,52
352.76,55
355.18,57
357.6,56
360.02,57
362.44,57
364.86,58
367.28,58
369.7,57
372.12,57
374.54,57
376.96,58
379.38,57
381.8,58
384.22,56
386.64,55
389.06,54
391.48,55
393.9,56
396.32,61
398.74,62
401.16,62
403.58,60
406,63
408.42,65
410.84,63
413.26,65
415.68,59
418.1,61
420.52,62
422.94,62
425.36,62
427.78,61
430.2,61
432.62,61
435.04,61
437.46,60
439.88,59
442.3,55
444.72,53
447.14,55
449.56,54
451.98,50
454.4,50
456.82,53
459.24,52
461.66,55
464.08,52
466.5,52
468.92,52
471.34,51
473.76,51
476.18,50
478.6,50
481.02,52
483.44,50
