X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,6
4.28,4
6.7,7
9.12,7
11.54,4
13.96,8
16.38,8
18.8,7
21.22,6
23.64,6
26.06,6
28.48,7
30.9,5
33.32,6
35.74,4
38.16,5
40.58,6
43,6
45.42,6
47.84,7
50.26,7
52.68,7
55.1,7
57.52,7
59.94,7
62.36,7
64.78,6
67.2,8
69.62,7
72.04,7
74.46,7
76.88,7
79.3,7
81.72,6
84.14,7
86.56,7
88.98,6
91.4,6
93.82,5
96.24,6
98.66,6
101.08,5
103.5,4
105.92,4
108.34,4
110.76,4
113.18,4
115.6,4
118.02,6
120.44,6
122.86,6
125.28,7
127.7,7
130.12,7
132.54,7
134.96,7
137.38,7
139.8,7
142.22,6
144.64,7
147.06,8
149.48,6
151.9,7
154.32,7
156.74,7
159.16,6
161.58,5
164,6
166.42,6
168.84,6
171.26,6
173.68,6
176.1,6
178.52,7
180.94,7
183.36,7
185.78,7
188.2,7
190.62,8
193.04,8
195.46,8
197.88,8
200.3,8
202.72,9
205.14,8
207.56,7
209.98,7
212.4,7
214.82,6
217.24,7
219.66,7
222.08,7
224.5,6
226.92,6
229.34,7
231.76,7
234.18,7
236.6,7
239.02,7
241.44,7
243.86,7
246.28,7
248.7,6
251.12,6
253.54,6
255.96,5
258.38,5
260.8,6
263.22,5
265.64,4
268.06,5
270.48,5
272.9,5
275.32,4
277.74,4
280.16,4
282.58,4
285,4
287.42,4
289.84,4
292.26,4
294.68,4
297.1,4
299.52,4
301.94,4
304.36,4
306.78,4
309.2,4
311.62,4
314.04,4
316.46,4
318.88,4
321.3,4
323.72,4
326.14,5
328.56,7
330.98,7
333.4,7
335.82,7
338.24,8
340.66,8
343.08,7
345.5,8
347.92,8
350.34,8
352.76,9
355.18,8
357.6,8
360.02,7
362.44,7
364.86,8
367.28,7
369.7,7
372.12,7
374.54,6
376.96,6
379.38,4
381.8,4
384.22,3
386.64,4
389.06,6
391.48,7
393.9,7
396.32,7
398.74,7
401.16,7
403.58,7
406,7
408.42,7
410.84,7
413.26,8
415.68,8
418.1,7
420.52,6
422.94,7
425.36,7
427.78,7
430.2,7
432.62,7
435.04,6
437.46,6
439.88,7
442.3,7
444.72,6
447.14,8
449.56,7
451.98,7
454.4,7
456.82,7
459.24,7
461.66,7
464.08,7
466.5,7
468.92,7
471.34,6
473.76,6
476.18,6
478.6,5
481.02,6
483.44,7
