X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,2,2,4,4,4,4,5,6,5,3,5,8,4,4,1,5,6,5,2,1,3,4,2,2,0
3.24,1,2,4,4,4,4,5,6,5,3,5,8,4,4,1,6,6,4,2,1,3,4,2,2,0
5.66,1,2,4,4,3,4,5,6,5,3,5,8,4,4,1,6,6,5,2,1,3,4,2,2,0
8.08,1,2,5,4,3,4,6,7,6,3,5,8,6,4,2,6,6,5,2,1,3,4,2,1,0
10.5,1,2,5,4,3,4,6,7,6,2,5,8,7,4,2,6,6,5,2,1,3,4,3,1,0
12.92,0,2,6,4,2,4,6,7,6,2,5,8,8,4,2,6,6,5,2,1,2,4,3,1,0
15.34,0,2,6,4,2,4,7,7,6,2,5,8,8,3,2,5,6,6,2,1,2,4,3,1,0
17.76,0,1,6,4,2,4,7,7,6,2,5,8,8,3,2,5,7,6,2,1,2,4,3,1,0
20.18,0,3,6,5,2,4,7,8,7,2,5,8,9,3,2,5,7,6,2,1,2,4,3,1,0
22.6,0,2,5,5,2,4,7,8,7,3,5,8,9,5,1,5,8,5,2,1,2,4,3,1,0
25.02,0,2,5,5,1,3,8,8,7,3,5,8,10,5,1,5,8,5,2,1,2,4,3,1,0
27.44,0,2,5,5,1,3,8,8,7,3,5,8,10,5,1,5,8,6,2,1,2,4,3,1,0
29.86,0,3,5,5,1,3,8,8,7,2,5,8,11,5,1,5,8,7,2,1,2,3,3,1,0
32.28,0,3,5,5,1,3,8,8,7,2,5,8,12,5,1,5,8,7,2,1,1,3,3,1,0
34.7,0,3,5,5,1,3,7,8,7,2,5,9,12,5,1,5,8,7,2,1,1,3,2,1,0
37.12,0,4,5,5,1,3,6,8,7,2,5,8,12,4,1,6,7,7,2,1,1,3,2,1,0
39.54,0,4,5,5,1,3,6,9,7,2,5,8,12,4,1,5,7,7,2,1,1,1,2,1,0
41.96,0,4,5,5,1,3,6,9,7,2,5,8,12,4,1,5,7,7,2,1,1,2,2,0,0
44.38,0,4,5,5,1,3,7,8,7,1,5,9,12,5,1,5,7,8,2,0,1,2,2,0,0
46.8,0,4,5,4,1,2,8,9,7,0,5,9,12,5,1,4,7,8,2,0,0,2,2,0,0
49.22,0,4,6,4,1,2,8,9,7,0,5,10,12,5,1,4,7,8,3,0,1,2,2,0,0
51.64,0,4,6,3,1,1,9,9,7,0,5,10,12,5,1,4,7,8,3,0,1,2,2,0,0
54.06,0,4,6,3,0,2,8,9,6,0,5,10,11,6,1,4,7,8,3,0,1,2,2,0,0
56.48,0,5,6,2,0,3,8,10,6,0,4,11,11,6,1,4,7,8,4,0,1,2,1,1,0
58.9,0,5,5,2,0,3,8,10,6,0,4,11,11,6,0,4,7,8,4,0,1,3,1,1,0
61.32,0,5,5,2,0,3,8,10,6,0,3,11,11,6,0,4,7,7,4,0,1,3,2,1,0
63.74,0,5,5,2,0,3,8,10,6,0,3,11,11,6,0,4,7,8,4,0,1,3,2,1,0
66.16,1,5,5,2,0,3,7,11,5,0,3,12,11,6,0,3,7,8,4,0,1,3,2,1,0
68.58,1,4,5,2,0,3,8,10,5,0,3,12,11,6,0,3,8,8,4,0,1,4,2,1,0
71,1,4,5,2,0,3,8,10,5,0,3,12,11,6,0,2,8,8,5,0,1,4,2,1,0
