X,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor
0.82,7
3.24,7
5.66,7
8.08,7
10.5,7
12.92,7
15.34,7
17.76,7
20.18,7
22.6,7
25.02,7
27.44,7
29.86,7
32.28,7
34.7,7
37.12,7
39.54,7
41.96,7
44.38,7
46.8,7
49.22,7
51.64,7
54.06,7
56.48,6
58.9,6
61.32,7
63.74,7
66.16,7
68.58,9
71,9
73.42,10
75.84,10
78.26,10
80.68,10
83.1,10
85.52,10
87.94,10
90.36,10
92.78,10
95.2,11
97.62,11
100.04,10
102.46,9
104.88,9
107.3,9
109.72,9
112.14,8
114.56,8
116.98,8
119.4,7
121.82,7
124.24,7
126.66,8
129.08,8
131.5,8
133.92,8
136.34,8
138.76,8
141.18,7
143.6,7
146.02,7
148.44,7
150.86,8
153.28,7
155.7,7
158.12,7
160.54,7
162.96,6
165.38,6
167.8,6
170.22,6
172.64,6
175.06,6
177.48,6
179.9,6
182.32,6
184.74,5
187.16,5
189.58,5
192,5
194.42,4
196.84,4
199.26,4
201.68,4
204.1,4
206.52,5
208.94,5
211.36,5
213.78,5
216.2,5
218.62,5
221.04,5
223.46,5
225.88,4
228.3,4
230.72,3
233.14,3
235.56,3
237.98,3
240.4,3
242.82,4
245.24,4
247.66,4
250.08,4
252.5,4
254.92,4
257.34,4
259.76,4
262.18,4
264.6,5
267.02,5
269.44,5
271.86,6
274.28,6
276.7,6
279.12,6
281.54,6
283.96,6
286.38,6
288.8,6
291.22,7
293.64,7
296.06,7
298.48,7
300.9,7
303.32,7
305.74,7
308.16,7
310.58,7
313,7
315.42,8
317.84,8
320.26,8
322.68,7
325.1,7
327.52,7
329.94,7
332.36,7
334.78,6
337.2,6
339.62,6
342.04,6
344.46,6
346.88,6
349.3,6
351.72,6
354.14,6
356.56,6
358.98,5
361.4,3
363.82,3
366.24,3
368.66,4
371.08,5
373.5,4
375.92,4
378.34,5
380.76,5
383.18,5
385.6,5
388.02,5
390.44,5
392.86,5
395.28,5
397.7,5
400.12,5
402.54,5
404.96,5
407.38,5
409.8,5
412.22,5
414.64,5
417.06,5
419.48,5
421.9,5
424.32,5
426.74,5
429.16,4
431.58,3
434,3
436.42,3
438.84,3
441.26,4
443.68,4
446.1,4
448.52,4
450.94,4
453.36,4
455.78,4
458.2,4
460.62,5
463.04,5
465.46,6
467.88,6
470.3,6
472.72,6
475.14,5
477.56,6
479.98,6
482.4,7
