X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,21
4.28,6
6.7,5
9.12,3
11.54,4
13.96,6
16.38,6
18.8,7
21.22,10
23.64,10
26.06,6
28.48,3
30.9,6
33.32,3
35.74,5
38.16,9
40.58,7
43,4
45.42,7
47.84,11
50.26,10
52.68,5
55.1,3
57.52,2
59.94,2
62.36,3
64.78,5
67.2,8
69.62,4
72.04,4
74.46,4
76.88,2
79.3,7
81.72,0
84.14,4
86.56,6
88.98,1
91.4,0
93.82,2
96.24,3
98.66,3
101.08,6
103.5,1
105.92,1
108.34,1
110.76,0
113.18,1
115.6,5
118.02,6
120.44,7
122.86,3
125.28,4
127.7,2
130.12,1
132.54,4
134.96,1
137.38,6
139.8,2
142.22,5
144.64,6
147.06,1
149.48,1
151.9,2
154.32,1
156.74,1
159.16,7
161.58,2
164,4
166.42,3
168.84,3
171.26,0
173.68,2
176.1,3
178.52,6
180.94,1
183.36,1
185.78,1
188.2,0
190.62,0
193.04,1
195.46,3
197.88,2
200.3,0
202.72,1
205.14,1
207.56,1
209.98,1
212.4,0
214.82,0
217.24,1
219.66,1
222.08,2
224.5,1
226.92,2
229.34,3
231.76,1
234.18,2
236.6,1
239.02,2
241.44,0
243.86,2
246.28,3
248.7,5
251.12,0
253.54,1
255.96,0
258.38,0
260.8,0
263.22,2
265.64,1
268.06,0
270.48,2
272.9,1
275.32,1
277.74,1
280.16,0
282.58,3
285,1
287.42,4
289.84,8
292.26,2
294.68,3
297.1,4
299.52,1
301.94,3
304.36,5
306.78,1
309.2,3
311.62,1
314.04,4
316.46,5
318.88,5
321.3,4
323.72,1
326.14,1
328.56,6
330.98,1
333.4,0
335.82,1
338.24,1
340.66,6
343.08,10
345.5,5
347.92,3
350.34,2
352.76,2
355.18,1
357.6,3
360.02,1
362.44,3
364.86,1
367.28,2
369.7,2
372.12,2
374.54,1
376.96,1
379.38,3
381.8,1
384.22,0
386.64,0
389.06,0
391.48,1
393.9,0
396.32,1
398.74,1
401.16,3
403.58,0
406,3
408.42,2
410.84,1
413.26,2
415.68,4
418.1,1
420.52,3
422.94,0
425.36,2
427.78,2
430.2,0
432.62,1
435.04,4
437.46,2
439.88,2
442.3,3
444.72,0
447.14,5
449.56,1
451.98,1
454.4,2
456.82,0
459.24,0
461.66,4
464.08,4
466.5,3
468.92,4
471.34,3
473.76,4
476.18,6
478.6,0
481.02,6
483.44,2
