X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,1,2,1,0,0,3,5,3,4,1,4,7,5,5,4,4,4,8,7,4,3,3,4,4,3
3.24,1,1,1,0,0,3,5,3,4,1,4,7,6,5,4,4,4,8,7,5,3,3,4,4,3
5.66,0,2,1,0,0,3,5,4,4,1,4,7,7,5,4,4,4,8,8,5,3,3,4,4,3
8.08,0,2,1,0,0,3,4,4,4,1,3,7,7,6,4,4,4,8,8,5,3,3,5,4,2
10.5,0,2,1,0,0,3,4,4,4,1,3,7,9,6,4,4,4,8,8,5,3,4,5,4,2
12.92,0,2,1,0,0,3,4,4,4,1,3,7,10,6,4,4,6,8,8,5,3,4,6,5,2
15.34,0,2,1,0,0,3,4,4,3,1,3,7,10,6,3,4,6,8,8,5,3,4,6,5,2
17.76,0,2,1,0,0,3,4,4,3,1,4,6,10,6,3,4,7,8,8,5,2,4,6,5,2
20.18,0,2,1,0,0,3,4,5,3,1,4,6,10,7,4,5,7,8,8,5,2,4,6,5,2
22.6,0,2,1,0,0,3,4,6,3,2,4,5,10,7,4,5,7,8,8,4,2,4,6,5,2
25.02,1,1,0,0,0,3,4,7,3,2,4,5,10,7,4,5,7,8,8,3,2,4,6,5,2
27.44,1,1,0,0,0,3,4,7,3,2,4,6,10,7,4,5,8,7,8,3,2,4,6,5,2
29.86,1,1,0,0,0,3,4,7,3,2,4,6,9,7,4,2,8,7,8,3,2,4,6,5,2
