X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,1,2,3,4,1,4,6,10,7,4,4,7,7,7,3,2,3,5,6,3,0,0,2,3,2
3.24,1,2,3,4,1,4,6,10,7,4,4,6,7,7,3,2,3,5,6,3,0,0,2,3,2
5.66,1,2,4,4,1,4,7,10,7,4,4,6,7,7,4,1,3,4,6,3,0,0,2,3,2
8.08,1,2,5,4,1,3,7,10,7,4,4,6,8,6,4,1,3,5,6,3,0,0,2,3,2
10.5,1,2,5,4,1,3,7,10,7,3,4,6,8,6,4,1,4,5,6,3,0,0,2,3,2
12.92,1,2,5,4,1,3,7,10,7,3,4,6,8,7,4,1,4,5,5,3,0,0,2,3,2
15.34,1,2,4,4,1,3,7,10,7,3,4,6,8,7,4,1,4,5,5,3,0,0,2,3,2
17.76,1,2,4,4,1,3,7,9,6,3,4,6,10,8,4,1,4,6,5,4,0,0,2,3,2
20.18,1,2,4,4,1,3,7,9,7,3,3,6,10,10,3,1,5,7,5,4,0,0,2,3,2
22.6,1,1,4,3,1,3,7,9,7,3,3,6,10,12,3,1,5,7,5,4,0,0,2,3,2
25.02,0,1,4,3,1,2,7,9,6,2,3,6,10,12,3,1,5,7,5,4,0,0,2,3,2
27.44,0,2,4,3,1,2,7,9,6,2,3,6,12,12,3,1,5,7,5,4,0,0,2,4,2
29.86,0,1,4,3,1,2,7,9,6,1,3,6,13,12,3,1,5,7,5,4,0,0,2,4,2
32.28,0,1,4,4,0,2,7,9,6,1,3,6,13,10,3,1,5,8,6,4,0,0,2,4,2
34.7,0,1,4,4,0,2,8,9,6,1,3,7,13,10,3,1,6,8,6,4,0,0,2,4,1
37.12,0,1,4,4,0,2,8,9,6,1,2,7,13,10,3,1,6,8,7,4,0,0,2,4,1
39.54,0,1,4,4,0,2,7,9,6,1,3,7,14,10,3,2,6,7,7,4,0,0,2,4,1
41.96,0,2,4,4,0,1,6,8,6,1,3,8,14,10,3,2,6,8,7,4,0,0,2,4,1
44.38,0,2,4,4,0,2,5,8,5,1,3,8,14,10,3,2,5,9,7,4,0,0,2,4,1
46.8,0,2,4,4,0,2,5,8,5,2,3,7,14,10,3,2,5,9,7,4,0,0,2,3,2
49.22,0,2,4,4,0,2,5,8,6,2,3,7,14,10,3,2,4,9,7,4,0,0,2,3,2
51.64,0,3,3,4,0,2,5,8,6,2,3,7,12,10,2,2,4,9,7,3,0,1,2,3,2
54.06,0,3,3,4,0,2,5,7,6,2,3,7,13,10,3,2,4,9,7,3,0,1,2,3,2
56.48,0,3,2,3,0,2,5,7,6,2,3,7,13,10,3,2,5,8,7,2,0,1,4,3,1
58.9,0,3,2,3,0,2,5,7,6,2,3,7,13,10,3,2,5,9,7,2,0,1,2,2,1
61.32,0,3,3,2,0,2,5,7,5,2,3,8,13,10,3,2,6,9,8,2,0,1,2,2,1
63.74,0,3,3,2,0,1,5,7,5,1,3,8,14,10,4,2,6,9,7,2,0,1,2,2,1
66.16,0,3,3,3,0,1,5,7,5,1,3,9,14,10,4,2,6,9,8,2,0,1,1,2,1
68.58,0,3,3,3,0,1,5,8,5,1,3,9,14,10,4,2,6,9,8,2,0,1,1,3,0
71,1,3,3,3,0,1,5,8,5,1,3,8,13,10,3,2,6,10,8,2,0,1,1,2,0
73.42,1,2,4,3,0,1,4,9,7,1,3,8,13,10,3,2,7,10,7,2,0,1,1,2,0
75.84,1,2,4,3,0,1,4,9,7,1,3,8,12,10,3,2,7,10,8,2,0,1,1,2,0
78.26,1,2,4,4,0,1,3,9,7,1,3,8,12,10,3,2,7,10,8,2,0,1,1,2,0
80.68,1,2,4,4,0,1,3,8,7,1,3,8,13,10,2,2,7,10,8,2,0,2,2,2,0
83.1,1,2,4,4,1,1,3,8,7,1,2,7,13,10,2,2,6,10,8,3,0,2,3,1,0
85.52,1,2,4,4,1,1,3,9,8,2,2,7,13,10,2,1,6,10,8,2,0,1,2,1,0
87.94,1,2,4,4,1,1,3,8,8,1,2,8,13,10,2,1,6,10,8,2,0,1,2,1,0
90.36,1,2,4,4,1,1,5,8,8,1,2,8,13,10,2,1,5,10,8,2,0,1,1,1,0
92.78,1,1,4,4,1,1,5,8,8,1,2,8,13,10,2,1,5,10,8,2,0,1,2,1,0
95.2,1,1,4,4,1,1,4,8,8,1,2,8,13,9,1,1,5,10,8,2,0,1,2,1,0
97.62,1,1,4,4,1,1,4,9,8,1,1,9,13,9,1,1,5,10,6,2,0,1,2,1,0
100.04,1,1,4,4,1,1,5,10,9,1,1,9,12,10,1,1,5,10,6,2,0,1,2,1,1
102.46,1,1,4,4,1,1,5,11,8,2,2,9,11,10,1,1,5,10,6,2,0,1,2,1,1
104.88,1,2,4,4,1,1,5,11,8,2,2,9,11,9,1,1,4,10,6,1,0,1,2,1,1
107.3,1,2,4,4,2,1,6,10,8,2,2,9,11,9,1,1,5,10,6,1,0,1,2,1,1
109.72,1,2,4,4,2,1,6,11,8,3,3,9,11,9,1,1,5,10,6,1,0,1,2,1,1
112.14,1,2,4,4,2,1,6,11,8,3,3,9,11,9,1,1,5,10,6,1,0,1,3,1,1
114.56,1,2,4,4,2,1,7,10,8,3,3,7,10,9,1,1,5,10,6,1,0,1,3,1,1
116.98,1,2,4,4,2,1,7,11,8,3,3,7,11,9,2,1,5,10,6,1,0,1,3,2,1
119.4,1,2,4,4,2,1,7,11,8,3,3,7,11,9,2,1,5,9,5,1,0,1,3,2,1
121.82,1,2,4,4,2,1,7,11,8,3,3,7,11,9,2,1,5,9,5,1,0,1,3,2,0
124.24,1,1,4,4,2,1,6,11,8,3,3,8,11,9,2,1,5,9,6,1,0,1,3,2,0
126.66,1,1,4,3,2,2,6,11,9,3,3,8,11,9,2,1,4,9,6,1,0,1,3,2,0
129.08,1,1,4,3,2,2,6,11,9,3,3,7,11,9,2,1,4,9,5,1,0,1,3,2,0
131.5,1,1,4,4,2,2,6,11,9,3,3,7,11,9,2,1,4,8,5,1,0,1,3,2,0
133.92,0,1,4,4,2,3,6,11,9,4,3,6,11,9,3,1,4,8,5,1,0,1,3,2,0
136.34,0,1,4,4,2,3,6,11,9,4,3,6,11,10,3,2,4,9,5,1,0,1,3,2,0
138.76,0,1,3,4,2,3,6,11,8,5,3,6,11,9,3,2,4,6,5,2,0,2,3,2,0
141.18,0,1,3,4,2,3,6,10,8,5,3,6,11,9,3,2,4,6,5,2,0,2,3,2,0
143.6,0,1,3,4,2,3,6,10,8,5,3,6,11,8,3,2,4,5,5,2,0,2,2,2,0
146.02,0,1,3,4,2,3,6,10,7,5,3,6,11,7,3,1,5,5,5,2,0,1,1,2,0
148.44,0,1,3,4,2,3,6,9,7,5,3,6,12,7,3,1,5,5,5,2,0,1,1,1,0
150.86,0,1,3,4,1,3,7,9,8,5,3,6,12,7,4,1,3,5,5,2,0,1,1,1,0
153.28,0,3,3,4,1,4,7,10,8,5,3,6,12,7,4,1,3,5,6,2,0,1,1,1,0
155.7,0,3,4,4,1,4,7,10,8,5,4,6,11,7,4,1,4,5,6,2,0,1,1,1,0
158.12,0,4,4,4,1,4,7,10,9,6,4,6,11,7,4,1,4,5,6,2,0,1,1,1,0
160.54,1,4,4,4,1,4,7,9,9,5,4,7,12,8,4,1,4,5,6,2,0,1,1,1,0
162.96,1,4,4,4,1,4,7,9,8,5,5,7,12,8,4,1,4,5,6,2,0,1,1,1,0
165.38,2,4,4,4,1,4,8,10,8,4,5,7,12,8,4,1,4,5,6,1,0,1,1,1,0
