X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 20
1.86,1
4.28,3
6.7,3
9.12,4
11.54,4
13.96,3
16.38,2
18.8,3
21.22,1
23.64,1
26.06,4
28.48,3
30.9,3
33.32,2
35.74,1
38.16,2
40.58,1
43,1
45.42,1
47.84,0
50.26,0
52.68,0
55.1,0
57.52,0
59.94,0
62.36,0
64.78,0
67.2,0
69.62,0
72.04,0
74.46,0
76.88,0
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,0
93.82,0
96.24,0
98.66,0
101.08,0
103.5,0
105.92,0
108.34,0
110.76,0
113.18,0
115.6,0
118.02,0
120.44,0
122.86,0
125.28,1
127.7,1
130.12,1
132.54,1
134.96,1
137.38,1
139.8,1
142.22,1
144.64,1
147.06,1
149.48,1
151.9,1
154.32,1
156.74,2
159.16,2
161.58,2
164,3
166.42,2
168.84,2
171.26,2
173.68,2
176.1,2
178.52,2
180.94,2
183.36,3
185.78,3
188.2,3
190.62,3
193.04,3
195.46,3
197.88,3
200.3,2
202.72,2
205.14,2
207.56,2
209.98,2
212.4,1
214.82,1
217.24,2
219.66,1
222.08,2
224.5,1
226.92,1
229.34,1
231.76,1
234.18,1
236.6,1
239.02,1
241.44,1
243.86,1
246.28,1
248.7,1
251.12,1
253.54,1
255.96,1
258.38,1
260.8,0
263.22,0
265.64,0
268.06,0
270.48,0
272.9,0
275.32,0
277.74,0
280.16,0
282.58,0
285,0
287.42,0
289.84,0
292.26,0
294.68,0
297.1,0
299.52,1
301.94,1
304.36,1
306.78,1
309.2,1
311.62,1
314.04,1
316.46,1
318.88,1
321.3,1
323.72,1
326.14,1
328.56,1
330.98,1
333.4,1
335.82,1
338.24,1
340.66,1
343.08,1
345.5,1
347.92,1
350.34,1
352.76,1
355.18,1
357.6,2
360.02,2
362.44,2
364.86,2
367.28,2
369.7,2
372.12,2
374.54,2
376.96,2
379.38,2
381.8,2
384.22,2
386.64,1
389.06,1
391.48,1
393.9,1
396.32,1
398.74,1
401.16,1
403.58,1
406,1
408.42,1
410.84,1
413.26,1
415.68,1
418.1,1
420.52,1
422.94,1
425.36,1
427.78,1
430.2,1
432.62,1
435.04,1
437.46,1
439.88,1
442.3,1
444.72,1
447.14,1
449.56,0
451.98,0
454.4,0
456.82,0
459.24,0
461.66,0
464.08,0
466.5,0
468.92,0
471.34,0
473.76,0
476.18,0
478.6,0
481.02,0
483.44,0
