X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,1,2,3,4,2,2,4,6,7,6,4,6,6,8,4,2,4,5,5,4,2,1,3,3,2
3.24,1,2,3,4,2,2,4,6,7,6,5,6,6,8,5,2,4,5,5,4,2,1,3,3,2
5.66,1,2,3,3,2,2,4,6,7,6,4,6,7,10,5,2,3,5,5,5,2,1,3,3,2
8.08,1,2,3,3,2,2,4,6,7,6,4,6,8,11,5,2,3,5,6,5,1,1,3,3,2
10.5,1,2,3,3,2,2,4,6,7,6,4,6,8,11,5,2,3,6,6,5,1,1,3,3,2
12.92,1,3,3,3,2,2,4,6,7,6,4,6,8,11,5,2,3,6,6,4,1,1,3,3,2
15.34,1,2,3,3,2,2,4,7,7,5,3,6,8,11,5,2,4,7,6,4,1,2,3,3,1
17.76,1,2,3,3,2,1,4,8,7,5,3,6,10,11,5,2,4,8,6,4,1,2,3,3,1
20.18,1,2,4,3,1,1,4,8,7,5,3,6,10,11,5,2,4,8,7,4,1,2,3,3,1
22.6,1,2,4,3,1,1,4,8,7,4,3,6,10,11,5,2,4,8,7,4,1,2,3,3,1
25.02,1,2,4,3,1,1,3,8,8,4,3,6,11,11,5,2,4,8,7,4,1,2,3,3,1
27.44,1,2,3,3,1,1,3,8,8,4,3,7,12,11,5,2,4,9,7,4,1,2,3,2,0
29.86,1,2,3,3,1,1,3,8,8,3,3,7,13,11,4,2,4,9,7,4,0,2,3,2,0
32.28,1,2,3,3,0,1,3,8,8,2,3,7,13,11,4,2,4,9,7,3,0,2,1,2,0
34.7,1,2,3,3,0,1,4,8,8,2,3,7,13,11,4,2,4,9,7,3,0,2,1,2,0
37.12,1,2,4,3,0,1,4,8,8,2,3,7,13,11,4,2,5,9,7,2,0,2,1,1,0
39.54,0,2,4,3,0,1,4,8,7,2,3,7,13,11,4,2,6,9,7,2,0,1,1,1,0
41.96,0,1,4,3,0,1,5,8,5,2,3,7,13,11,4,2,6,9,7,2,0,2,1,1,0
44.38,0,1,5,3,0,1,5,8,4,1,3,7,14,10,3,2,5,9,7,2,0,2,1,1,0
46.8,0,1,5,4,0,1,6,9,4,1,2,8,14,10,3,2,5,9,7,2,0,2,1,2,0
49.22,0,1,5,4,0,1,6,9,5,1,1,7,14,11,1,2,5,9,7,2,0,2,2,2,1
