X,ieee802154Narrow.anchor[20].appl/Effectiveness in each anchor
1.86,1
4.28,0.8125
6.7,0.703125
9.12,0.64582
11.54,0.617339
13.96,0.744272
16.38,0.837087
18.8,0.861697
21.22,0.858229
23.64,0.83256
26.06,0.792099
28.48,0.801033
30.9,0.752012
33.32,0.750406
35.74,0.806851
38.16,0.817671
40.58,0.889181
43,0.877596
45.42,0.84206
47.84,0.826721
50.26,0.826898
52.68,0.859646
55.1,0.904582
57.52,0.904923
59.94,0.897516
62.36,0.91969
64.78,0.915554
67.2,0.951224
69.62,0.985335
72.04,0.977209
74.46,0.988053
76.88,0.963189
79.3,0.954479
81.72,0.96622
84.14,0.957595
86.56,0.982299
88.98,0.991228
91.4,0.991228
93.82,1
96.24,1
98.66,0.995283
101.08,0.987743
103.5,0.972663
105.92,0.964636
108.34,0.969208
110.76,0.976784
113.18,0.968498
115.6,0.976562
118.02,0.968498
120.44,0.960433
122.86,0.983871
125.28,0.983871
127.7,0.991935
130.12,0.983871
132.54,0.954459
134.96,0.947106
137.38,0.947106
139.8,0.951457
142.22,0.976171
144.64,0.97886
147.06,0.967796
149.48,0.975098
151.9,0.975181
154.32,0.97978
156.74,0.990909
159.16,0.990738
161.58,0.995283
164,0.988558
166.42,0.988558
168.84,0.988887
171.26,0.975092
173.68,0.954971
176.1,0.954971
178.52,0.932762
180.94,0.94602
183.36,0.968624
185.78,0.964552
188.2,0.987202
190.62,0.987202
193.04,0.991667
195.46,0.989282
197.88,0.984707
200.3,0.97476
202.72,0.970713
205.14,0.951857
207.56,0.943539
209.98,0.936083
212.4,0.918046
214.82,0.936982
217.24,0.898742
219.66,0.848883
222.08,0.828731
224.5,0.801203
226.92,0.786642
229.34,0.814136
231.76,0.811936
234.18,0.8063
236.6,0.857924
239.02,0.892378
241.44,0.913953
243.86,0.917089
246.28,0.927213
248.7,0.919392
251.12,0.935346
253.54,0.939497
255.96,0.945567
258.38,0.928478
260.8,0.915791
263.22,0.920868
265.64,0.901971
268.06,0.863297
270.48,0.855791
272.9,0.87358
275.32,0.892316
277.74,0.962907
280.16,0.991228
282.58,1
285,1
287.42,1
289.84,1
292.26,1
294.68,1
297.1,1
299.52,1
301.94,1
304.36,0.995192
306.78,0.990192
309.2,0.985475
311.62,0.980668
314.04,0.985475
316.46,0.990475
318.88,0.995192
321.3,1
323.72,1
326.14,1
328.56,1
330.98,1
333.4,1
335.82,1
338.24,1
340.66,1
343.08,0.994898
345.5,0.994898
347.92,0.994898
350.34,0.985332
352.76,0.990385
355.18,0.990385
357.6,0.990385
360.02,1
362.44,0.977273
364.86,0.977273
367.28,0.950359
369.7,0.950359
372.12,0.972986
374.54,0.972986
376.96,1
379.38,0.99569
381.8,0.99569
384.22,0.99569
386.64,0.99569
389.06,1
391.48,0.977273
393.9,0.977273
396.32,0.977273
398.74,0.977273
401.16,1
403.58,1
406,1
408.42,1
410.84,0.996032
413.26,0.991933
415.68,0.991933
418.1,0.991933
420.52,0.991995
422.94,0.992306
425.36,0.965791
427.78,0.954072
430.2,0.94644
432.62,0.942415
435.04,0.964962
437.46,0.968744
439.88,0.97625
442.3,0.980031
444.72,0.979967
447.14,0.983805
449.56,0.98367
451.98,0.983238
454.4,0.97818
456.82,0.982278
459.24,0.986445
461.66,0.990909
464.08,0.995098
466.5,0.995098
468.92,0.985839
471.34,0.959071
473.76,0.963861
476.18,0.950535
478.6,0.959583
481.02,0.981556
483.44,0.981556
