X,ieee802154Narrow.computer[0].appl/received-no-repeated-packets-per-period
1.86,75
4.28,78
6.7,80
9.12,83
11.54,84
13.96,81
16.38,85
18.8,88
21.22,85
23.64,88
26.06,89
28.48,86
30.9,88
33.32,93
35.74,89
38.16,92
40.58,88
43,89
45.42,93
47.84,89
50.26,91
52.68,91
55.1,98
57.52,92
59.94,95
62.36,94
64.78,95
67.2,88
69.62,94
72.04,99
74.46,97
76.88,99
79.3,94
81.72,102
84.14,101
86.56,98
88.98,100
91.4,97
93.82,98
96.24,89
98.66,97
101.08,96
103.5,94
105.92,95
108.34,93
110.76,97
113.18,101
115.6,98
118.02,98
120.44,96
122.86,102
125.28,101
127.7,102
130.12,100
132.54,101
134.96,102
137.38,101
139.8,103
142.22,100
144.64,101
147.06,102
149.48,100
151.9,102
154.32,98
156.74,96
159.16,98
161.58,96
164,97
166.42,98
168.84,93
171.26,93
173.68,96
176.1,96
178.52,96
180.94,97
183.36,92
185.78,95
188.2,92
190.62,93
193.04,89
195.46,89
197.88,89
200.3,89
202.72,90
205.14,90
207.56,91
209.98,90
212.4,91
214.82,89
217.24,92
219.66,95
222.08,96
224.5,95
226.92,98
229.34,96
231.76,99
234.18,100
236.6,97
239.02,101
241.44,95
243.86,98
246.28,100
248.7,100
251.12,101
253.54,101
255.96,101
258.38,101
260.8,99
263.22,96
265.64,101
268.06,100
270.48,96
272.9,96
275.32,99
277.74,103
280.16,102
282.58,102
285,102
287.42,102
289.84,96
292.26,103
294.68,100
297.1,102
299.52,102
301.94,101
304.36,100
306.78,103
309.2,100
311.62,104
314.04,102
316.46,101
318.88,99
321.3,100
323.72,102
326.14,101
328.56,101
330.98,101
333.4,100
335.82,100
338.24,101
340.66,98
343.08,102
345.5,101
347.92,99
350.34,101
352.76,102
355.18,99
357.6,97
360.02,97
362.44,102
364.86,104
367.28,104
369.7,101
372.12,102
374.54,104
376.96,101
379.38,104
381.8,101
384.22,103
386.64,102
389.06,102
391.48,102
393.9,102
396.32,102
398.74,103
401.16,107
403.58,102
406,99
408.42,99
410.84,98
413.26,99
415.68,99
418.1,98
420.52,99
422.94,97
425.36,98
427.78,98
430.2,98
432.62,100
435.04,99
437.46,98
439.88,101
442.3,101
444.72,101
447.14,98
449.56,100
451.98,100
454.4,98
456.82,100
459.24,101
461.66,100
464.08,100
466.5,102
468.92,103
471.34,102
473.76,101
476.18,103
478.6,106
481.02,99
483.44,103
