X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - No ACK received
1.86,2
4.28,0
6.7,0
9.12,0
11.54,0
13.96,0
16.38,0
18.8,0
21.22,0
23.64,0
26.06,1
28.48,0
30.9,1
33.32,0
35.74,0
38.16,2
40.58,1
43,1
45.42,1
47.84,1
50.26,0
52.68,0
55.1,0
57.52,0
59.94,2
62.36,0
64.78,0
67.2,0
69.62,0
72.04,0
74.46,0
76.88,1
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,0
93.82,1
96.24,0
98.66,1
101.08,1
103.5,0
105.92,0
108.34,0
110.76,0
113.18,0
115.6,0
118.02,2
120.44,1
122.86,1
125.28,1
127.7,0
130.12,0
132.54,0
134.96,0
137.38,0
139.8,0
142.22,0
144.64,0
147.06,3
149.48,0
151.9,2
154.32,0
156.74,0
159.16,0
161.58,1
164,3
166.42,2
168.84,0
171.26,0
173.68,0
176.1,1
178.52,1
180.94,0
183.36,0
185.78,0
188.2,5
190.62,2
193.04,0
195.46,0
197.88,0
200.3,0
202.72,0
205.14,0
207.56,0
209.98,0
212.4,0
214.82,0
217.24,1
219.66,0
222.08,1
224.5,1
226.92,2
229.34,2
231.76,2
234.18,2
236.6,1
239.02,0
241.44,3
243.86,0
246.28,0
248.7,0
251.12,0
253.54,0
255.96,0
258.38,2
260.8,2
263.22,1
265.64,0
268.06,1
270.48,3
272.9,0
275.32,0
277.74,1
280.16,1
282.58,3
285,0
287.42,0
289.84,0
292.26,0
294.68,0
297.1,0
299.52,0
301.94,0
304.36,1
306.78,0
309.2,1
311.62,3
314.04,1
316.46,0
318.88,0
321.3,1
323.72,0
326.14,1
328.56,1
330.98,4
333.4,4
335.82,2
338.24,1
340.66,0
343.08,1
345.5,0
347.92,0
350.34,0
352.76,0
355.18,1
357.6,1
360.02,4
362.44,0
364.86,0
367.28,0
369.7,1
372.12,0
374.54,0
376.96,5
379.38,0
381.8,0
384.22,2
386.64,1
389.06,2
391.48,3
393.9,0
396.32,1
398.74,0
401.16,1
403.58,1
406,7
408.42,0
410.84,1
413.26,0
415.68,0
418.1,1
420.52,0
422.94,0
425.36,0
427.78,3
430.2,5
432.62,3
435.04,3
437.46,0
439.88,0
442.3,0
444.72,0
447.14,2
449.56,2
451.98,2
454.4,0
456.82,0
459.24,0
461.66,0
464.08,5
466.5,1
468.92,3
471.34,4
473.76,3
476.18,2
478.6,3
481.02,1
483.44,0
