X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - No ACK received
1.86,7
4.28,1
6.7,0
9.12,1
11.54,1
13.96,5
16.38,2
18.8,1
21.22,2
23.64,1
26.06,3
28.48,2
30.9,3
33.32,1
35.74,5
38.16,1
40.58,2
43,2
45.42,0
47.84,1
50.26,0
52.68,0
55.1,2
57.52,2
59.94,0
62.36,2
64.78,5
67.2,2
69.62,0
72.04,2
74.46,1
76.88,0
79.3,1
81.72,0
84.14,1
86.56,1
88.98,5
91.4,2
93.82,0
96.24,1
98.66,1
101.08,1
103.5,0
105.92,1
108.34,4
110.76,4
113.18,2
115.6,1
118.02,1
120.44,3
122.86,4
125.28,3
127.7,4
130.12,2
132.54,4
134.96,2
137.38,6
139.8,6
142.22,1
144.64,1
147.06,1
149.48,6
151.9,2
154.32,5
156.74,5
159.16,1
161.58,1
164,0
166.42,0
168.84,2
171.26,0
173.68,0
176.1,1
178.52,1
180.94,0
183.36,1
185.78,0
188.2,0
190.62,0
193.04,3
195.46,2
197.88,3
200.3,4
202.72,0
205.14,1
207.56,0
209.98,2
212.4,2
214.82,3
217.24,1
219.66,4
222.08,2
224.5,4
226.92,1
229.34,2
231.76,1
234.18,2
236.6,1
239.02,0
241.44,3
243.86,1
246.28,1
248.7,3
251.12,2
253.54,0
255.96,1
258.38,3
260.8,2
263.22,0
265.64,0
268.06,0
270.48,0
272.9,1
275.32,0
277.74,2
280.16,0
282.58,0
285,4
287.42,2
289.84,2
292.26,3
294.68,3
297.1,2
299.52,0
301.94,1
304.36,1
306.78,5
309.2,2
311.62,1
314.04,2
316.46,1
318.88,1
321.3,1
323.72,3
326.14,5
328.56,3
330.98,4
333.4,3
335.82,3
338.24,2
340.66,1
343.08,0
345.5,2
347.92,0
350.34,1
352.76,0
355.18,1
357.6,4
360.02,0
362.44,7
364.86,6
367.28,5
369.7,1
372.12,2
374.54,1
376.96,5
379.38,3
381.8,2
384.22,0
386.64,2
389.06,1
391.48,1
393.9,0
396.32,1
398.74,1
401.16,1
403.58,2
406,0
408.42,0
410.84,2
413.26,0
415.68,0
418.1,0
420.52,0
422.94,1
425.36,2
427.78,3
430.2,2
432.62,2
435.04,3
437.46,3
439.88,2
442.3,3
444.72,3
447.14,1
449.56,0
451.98,0
454.4,0
456.82,0
459.24,1
461.66,2
464.08,2
466.5,1
468.92,3
471.34,4
473.76,3
476.18,2
478.6,4
481.02,2
483.44,2
