X,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor
0.82,1
3.24,1
5.66,1
8.08,1
10.5,1
12.92,1
15.34,1
17.76,1
20.18,1
22.6,1
25.02,1
27.44,0
29.86,0
32.28,0
34.7,0
37.12,0
39.54,0
41.96,0
44.38,0
46.8,0
49.22,0
51.64,0
54.06,0
56.48,0
58.9,0
61.32,0
63.74,0
66.16,0
68.58,0
71,0
73.42,0
75.84,0
78.26,0
80.68,0
83.1,0
85.52,0
87.94,1
90.36,1
92.78,1
95.2,1
97.62,1
100.04,1
102.46,1
104.88,1
107.3,1
109.72,1
112.14,1
114.56,1
116.98,1
119.4,1
121.82,1
124.24,1
126.66,1
129.08,2
131.5,2
133.92,3
136.34,2
138.76,2
141.18,2
143.6,2
146.02,2
148.44,2
150.86,2
153.28,2
155.7,1
158.12,1
160.54,1
162.96,1
165.38,1
167.8,1
170.22,1
172.64,0
175.06,0
177.48,0
179.9,1
182.32,1
184.74,1
187.16,1
189.58,1
192,1
194.42,1
196.84,1
199.26,2
201.68,2
204.1,2
206.52,2
208.94,2
211.36,2
213.78,2
216.2,2
218.62,2
221.04,2
223.46,2
225.88,2
228.3,2
230.72,2
233.14,2
235.56,2
237.98,2
240.4,2
242.82,2
245.24,2
247.66,2
250.08,2
252.5,2
254.92,2
257.34,2
259.76,3
262.18,3
264.6,3
267.02,3
269.44,3
271.86,3
274.28,3
276.7,3
279.12,3
281.54,3
283.96,3
286.38,3
288.8,3
291.22,3
293.64,3
296.06,2
298.48,2
300.9,2
303.32,2
305.74,1
308.16,1
310.58,0
313,0
315.42,0
317.84,0
320.26,0
322.68,0
325.1,0
327.52,0
329.94,0
332.36,0
334.78,0
337.2,0
339.62,0
342.04,0
344.46,0
346.88,0
349.3,0
351.72,0
354.14,0
356.56,0
358.98,0
361.4,1
363.82,1
366.24,1
368.66,1
371.08,1
373.5,1
375.92,1
378.34,1
380.76,1
383.18,1
385.6,1
388.02,1
390.44,1
392.86,1
395.28,1
397.7,1
400.12,0
402.54,0
404.96,0
407.38,0
409.8,0
412.22,0
414.64,0
417.06,0
419.48,0
421.9,0
424.32,1
426.74,1
429.16,1
431.58,1
434,1
436.42,1
438.84,1
441.26,1
443.68,1
446.1,1
448.52,1
450.94,1
453.36,1
455.78,1
458.2,1
460.62,1
463.04,1
465.46,1
467.88,1
470.3,1
472.72,2
475.14,1
477.56,1
479.98,1
482.4,1
