X,ieee802154Narrow.anchor[8].appl/Number of AN Reports with ACK
1.86,42
4.28,50
6.7,53
9.12,53
11.54,51
13.96,52
16.38,52
18.8,52
21.22,51
23.64,55
26.06,54
28.48,55
30.9,52
33.32,55
35.74,54
38.16,54
40.58,53
43,59
45.42,58
47.84,58
50.26,63
52.68,62
55.1,60
57.52,63
59.94,59
62.36,57
64.78,55
67.2,59
69.62,59
72.04,63
74.46,60
76.88,54
79.3,53
81.72,59
84.14,60
86.56,60
88.98,58
91.4,63
93.82,57
96.24,58
98.66,56
101.08,63
103.5,61
105.92,57
108.34,61
110.76,62
113.18,58
115.6,61
118.02,59
120.44,61
122.86,61
125.28,61
127.7,62
130.12,60
132.54,58
134.96,59
137.38,61
139.8,58
142.22,63
144.64,63
147.06,62
149.48,65
151.9,62
154.32,62
156.74,59
159.16,60
161.58,60
164,54
166.42,55
168.84,55
171.26,59
173.68,56
176.1,55
178.52,54
180.94,56
183.36,57
185.78,56
188.2,52
190.62,53
193.04,53
195.46,49
197.88,50
200.3,51
202.72,52
205.14,53
207.56,54
209.98,55
212.4,55
214.82,58
217.24,59
219.66,59
222.08,57
224.5,55
226.92,55
229.34,56
231.76,53
234.18,53
236.6,52
239.02,54
241.44,53
243.86,56
246.28,55
248.7,56
251.12,56
253.54,57
255.96,56
258.38,57
260.8,59
263.22,61
265.64,61
268.06,59
270.48,61
272.9,60
275.32,58
277.74,55
280.16,59
282.58,59
285,58
287.42,59
289.84,58
292.26,60
294.68,61
297.1,60
299.52,61
301.94,60
304.36,59
306.78,59
309.2,59
311.62,59
314.04,62
316.46,62
318.88,62
321.3,57
323.72,56
326.14,60
328.56,58
330.98,55
333.4,55
335.82,55
338.24,55
340.66,54
343.08,54
345.5,55
347.92,55
350.34,54
352.76,54
355.18,54
357.6,57
360.02,55
362.44,56
364.86,56
367.28,54
369.7,55
372.12,55
374.54,53
376.96,52
379.38,51
381.8,47
384.22,48
386.64,44
389.06,45
391.48,45
393.9,45
396.32,45
398.74,45
401.16,45
403.58,44
406,42
408.42,43
410.84,43
413.26,46
415.68,45
418.1,46
420.52,47
422.94,48
425.36,50
427.78,49
430.2,47
432.62,46
435.04,46
437.46,47
439.88,47
442.3,46
444.72,46
447.14,47
449.56,50
451.98,50
454.4,47
456.82,48
459.24,49
461.66,50
464.08,50
466.5,53
468.92,54
471.34,54
473.76,53
476.18,52
478.6,50
481.02,52
483.44,50
