X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - No ACK received
1.86,2
4.28,1
6.7,0
9.12,0
11.54,0
13.96,0
16.38,0
18.8,0
21.22,1
23.64,0
26.06,0
28.48,1
30.9,0
33.32,0
35.74,0
38.16,1
40.58,0
43,0
45.42,0
47.84,1
50.26,1
52.68,1
55.1,1
57.52,0
59.94,2
62.36,0
64.78,0
67.2,2
69.62,2
72.04,1
74.46,0
76.88,1
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,1
93.82,4
96.24,0
98.66,0
101.08,2
103.5,0
105.92,0
108.34,1
110.76,2
113.18,0
115.6,0
118.02,0
120.44,2
122.86,0
125.28,4
127.7,1
130.12,1
132.54,0
134.96,1
137.38,0
139.8,0
142.22,1
144.64,1
147.06,0
149.48,0
151.9,3
154.32,0
156.74,0
159.16,0
161.58,3
164,0
166.42,0
168.84,0
171.26,3
173.68,1
176.1,0
178.52,0
180.94,1
183.36,0
185.78,2
188.2,2
190.62,5
193.04,4
195.46,1
197.88,5
200.3,0
202.72,0
205.14,0
207.56,0
209.98,3
212.4,2
214.82,0
217.24,2
219.66,1
222.08,0
224.5,0
226.92,0
229.34,0
231.76,0
234.18,0
236.6,0
239.02,0
241.44,0
243.86,0
246.28,0
248.7,0
251.12,0
253.54,1
255.96,2
258.38,2
260.8,3
263.22,0
265.64,0
268.06,0
270.48,0
272.9,0
275.32,0
277.74,3
280.16,0
282.58,0
285,0
287.42,0
289.84,0
292.26,1
294.68,1
297.1,3
299.52,1
301.94,3
304.36,1
306.78,0
309.2,1
311.62,2
314.04,0
316.46,1
318.88,0
321.3,0
323.72,3
326.14,0
328.56,0
330.98,0
333.4,1
335.82,1
338.24,0
340.66,0
343.08,2
345.5,0
347.92,0
350.34,0
352.76,0
355.18,0
357.6,3
360.02,1
362.44,2
364.86,2
367.28,1
369.7,0
372.12,0
374.54,1
376.96,0
379.38,0
381.8,0
384.22,0
386.64,2
389.06,1
391.48,0
393.9,0
396.32,0
398.74,0
401.16,1
403.58,3
406,0
408.42,1
410.84,1
413.26,1
415.68,1
418.1,0
420.52,0
422.94,0
425.36,0
427.78,0
430.2,0
432.62,0
435.04,1
437.46,0
439.88,0
442.3,0
444.72,2
447.14,0
449.56,0
451.98,0
454.4,0
456.82,0
459.24,2
461.66,0
464.08,0
466.5,0
468.92,0
471.34,0
473.76,0
476.18,0
478.6,0
481.02,0
483.44,0
