X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - No ACK received
1.86,6
4.28,1
6.7,1
9.12,1
11.54,0
13.96,0
16.38,0
18.8,1
21.22,1
23.64,0
26.06,0
28.48,1
30.9,2
33.32,0
35.74,0
38.16,0
40.58,0
43,0
45.42,1
47.84,1
50.26,0
52.68,2
55.1,1
57.52,0
59.94,0
62.36,0
64.78,0
67.2,0
69.62,0
72.04,1
74.46,1
76.88,1
79.3,0
81.72,0
84.14,1
86.56,0
88.98,0
91.4,1
93.82,0
96.24,1
98.66,0
101.08,0
103.5,1
105.92,0
108.34,0
110.76,0
113.18,0
115.6,0
118.02,0
120.44,0
122.86,0
125.28,0
127.7,0
130.12,0
132.54,0
134.96,0
137.38,0
139.8,0
142.22,2
144.64,2
147.06,4
149.48,1
151.9,1
154.32,0
156.74,0
159.16,0
161.58,0
164,3
166.42,2
168.84,0
171.26,0
173.68,0
176.1,0
178.52,0
180.94,1
183.36,0
185.78,0
188.2,2
190.62,0
193.04,1
195.46,0
197.88,0
200.3,2
202.72,0
205.14,0
207.56,0
209.98,0
212.4,1
214.82,0
217.24,1
219.66,0
222.08,0
224.5,1
226.92,0
229.34,1
231.76,0
234.18,1
236.6,0
239.02,1
241.44,4
243.86,3
246.28,0
248.7,0
251.12,0
253.54,2
255.96,3
258.38,0
260.8,0
263.22,2
265.64,1
268.06,0
270.48,0
272.9,0
275.32,0
277.74,0
280.16,2
282.58,2
285,0
287.42,0
289.84,0
292.26,1
294.68,1
297.1,2
299.52,3
301.94,0
304.36,2
306.78,0
309.2,1
311.62,4
314.04,4
316.46,1
318.88,2
321.3,0
323.72,1
326.14,0
328.56,0
330.98,1
333.4,1
335.82,2
338.24,0
340.66,1
343.08,2
345.5,0
347.92,0
350.34,0
352.76,1
355.18,0
357.6,0
360.02,1
362.44,0
364.86,0
367.28,0
369.7,0
372.12,2
374.54,0
376.96,1
379.38,1
381.8,1
384.22,0
386.64,0
389.06,0
391.48,0
393.9,0
396.32,0
398.74,0
401.16,0
403.58,0
406,0
408.42,0
410.84,0
413.26,0
415.68,0
418.1,0
420.52,0
422.94,1
425.36,2
427.78,0
430.2,1
432.62,1
435.04,1
437.46,0
439.88,1
442.3,1
444.72,1
447.14,0
449.56,0
451.98,0
454.4,0
456.82,0
459.24,1
461.66,0
464.08,1
466.5,0
468.92,0
471.34,0
473.76,4
476.18,0
478.6,0
481.02,0
483.44,0
