X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - No ACK received
1.86,12
4.28,7
6.7,3
9.12,3
11.54,3
13.96,0
16.38,3
18.8,1
21.22,3
23.64,1
26.06,2
28.48,1
30.9,0
33.32,0
35.74,1
38.16,1
40.58,0
43,0
45.42,0
47.84,3
50.26,6
52.68,5
55.1,2
57.52,3
59.94,2
62.36,3
64.78,2
67.2,3
69.62,1
72.04,6
74.46,1
76.88,2
79.3,4
81.72,4
84.14,0
86.56,0
88.98,1
91.4,0
93.82,0
96.24,4
98.66,1
101.08,2
103.5,3
105.92,3
108.34,1
110.76,0
113.18,0
115.6,0
118.02,6
120.44,2
122.86,0
125.28,0
127.7,1
130.12,1
132.54,2
134.96,0
137.38,1
139.8,1
142.22,2
144.64,4
147.06,4
149.48,3
151.9,0
154.32,0
156.74,0
159.16,0
161.58,0
164,1
166.42,1
168.84,0
171.26,0
173.68,2
176.1,3
178.52,0
180.94,1
183.36,1
185.78,1
188.2,1
190.62,1
193.04,3
195.46,0
197.88,1
200.3,0
202.72,4
205.14,2
207.56,2
209.98,9
212.4,2
214.82,2
217.24,4
219.66,5
222.08,6
224.5,3
226.92,7
229.34,2
231.76,2
234.18,1
236.6,2
239.02,2
241.44,3
243.86,2
246.28,3
248.7,2
251.12,1
253.54,3
255.96,0
258.38,1
260.8,4
263.22,2
265.64,2
268.06,4
270.48,0
272.9,2
275.32,1
277.74,0
280.16,4
282.58,1
285,0
287.42,3
289.84,0
292.26,1
294.68,0
297.1,1
299.52,0
301.94,0
304.36,1
306.78,3
309.2,4
311.62,3
314.04,0
316.46,0
318.88,0
321.3,2
323.72,1
326.14,1
328.56,1
330.98,1
333.4,2
335.82,1
338.24,0
340.66,0
343.08,2
345.5,0
347.92,3
350.34,2
352.76,1
355.18,0
357.6,2
360.02,1
362.44,1
364.86,2
367.28,3
369.7,2
372.12,2
374.54,1
376.96,2
379.38,2
381.8,1
384.22,0
386.64,2
389.06,2
391.48,3
393.9,1
396.32,0
398.74,1
401.16,1
403.58,0
406,0
408.42,0
410.84,0
413.26,0
415.68,0
418.1,1
420.52,3
422.94,2
425.36,2
427.78,5
430.2,1
432.62,0
435.04,1
437.46,1
439.88,0
442.3,1
444.72,3
447.14,1
449.56,1
451.98,0
454.4,1
456.82,0
459.24,0
461.66,0
464.08,0
466.5,2
468.92,1
471.34,2
473.76,1
476.18,1
478.6,0
481.02,2
483.44,1
