X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 16
1.86,3
4.28,2
6.7,3
9.12,3
11.54,3
13.96,3
16.38,4
18.8,4
21.22,4
23.64,4
26.06,4
28.48,2
30.9,3
33.32,3
35.74,3
38.16,4
40.58,4
43,4
45.42,5
47.84,4
50.26,5
52.68,5
55.1,5
57.52,4
59.94,5
62.36,3
64.78,5
67.2,3
69.62,4
72.04,3
74.46,4
76.88,4
79.3,5
81.72,4
84.14,5
86.56,4
88.98,4
91.4,4
93.82,4
96.24,4
98.66,3
101.08,2
103.5,2
105.92,2
108.34,4
110.76,4
113.18,3
115.6,3
118.02,4
120.44,4
122.86,4
125.28,4
127.7,5
130.12,5
132.54,5
134.96,5
137.38,4
139.8,4
142.22,4
144.64,4
147.06,4
149.48,4
151.9,4
154.32,5
156.74,5
159.16,5
161.58,5
164,5
166.42,5
168.84,5
171.26,5
173.68,4
176.1,4
178.52,4
180.94,4
183.36,4
185.78,4
188.2,4
190.62,4
193.04,3
195.46,3
197.88,4
200.3,3
202.72,3
205.14,2
207.56,3
209.98,3
212.4,3
214.82,3
217.24,3
219.66,3
222.08,3
224.5,4
226.92,4
229.34,4
231.76,4
234.18,4
236.6,4
239.02,4
241.44,3
243.86,4
246.28,4
248.7,5
251.12,5
253.54,4
255.96,4
258.38,5
260.8,5
263.22,5
265.64,6
268.06,5
270.48,5
272.9,4
275.32,5
277.74,5
280.16,4
282.58,4
285,4
287.42,4
289.84,4
292.26,4
294.68,5
297.1,5
299.52,4
301.94,4
304.36,5
306.78,5
309.2,5
311.62,5
314.04,5
316.46,6
318.88,6
321.3,7
323.72,8
326.14,8
328.56,8
330.98,8
333.4,8
335.82,8
338.24,7
340.66,7
343.08,7
345.5,7
347.92,7
350.34,7
352.76,7
355.18,7
357.6,6
360.02,7
362.44,7
364.86,7
367.28,6
369.7,7
372.12,6
374.54,5
376.96,7
379.38,6
381.8,7
384.22,7
386.64,7
389.06,8
391.48,8
393.9,8
396.32,7
398.74,7
401.16,6
403.58,8
406,8
408.42,8
410.84,8
413.26,8
415.68,8
418.1,7
420.52,9
422.94,7
425.36,7
427.78,7
430.2,7
432.62,7
435.04,6
437.46,6
439.88,6
442.3,6
444.72,6
447.14,5
449.56,5
451.98,5
454.4,5
456.82,5
459.24,5
461.66,5
464.08,5
466.5,6
468.92,6
471.34,6
473.76,7
476.18,8
478.6,8
481.02,8
483.44,8
