File,Run,Module,Name,
Red8012154-0.sca,Red8012154-0-20121126-21:55:25-10238,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.977273
Red8012154-1.sca,Red8012154-1-20121126-21:55:25-10239,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,1
Red8012154-10.sca,Red8012154-10-20121126-21:56:19-10287,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.939103
Red8012154-100.sca,Red8012154-100-20121126-22:03:10-10676,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.980769
Red8012154-1000.sca,Red8012154-1000-20121126-23:44:12-15296,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.907258
Red8012154-1001.sca,Red8012154-1001-20121126-23:44:29-15306,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.952306
Red8012154-1002.sca,Red8012154-1002-20121126-23:44:44-15316,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.96627
Red8012154-1003.sca,Red8012154-1003-20121126-23:44:58-15326,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.930019
Red8012154-1004.sca,Red8012154-1004-20121126-23:45:17-15339,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.909056
Red8012154-1005.sca,Red8012154-1005-20121126-23:45:26-15346,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.958877
Red8012154-1006.sca,Red8012154-1006-20121126-23:45:48-15359,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.930354
Red8012154-1007.sca,Red8012154-1007-20121126-23:45:57-15366,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.95011
Red8012154-1008.sca,Red8012154-1008-20121126-23:46:18-15379,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.959078
Red8012154-1009.sca,Red8012154-1009-20121126-23:46:26-15386,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.946793
Red8012154-101.sca,Red8012154-101-20121126-22:03:17-10683,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,1
Red8012154-1010.sca,Red8012154-1010-20121126-23:46:52-15403,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.943928
Red8012154-1011.sca,Red8012154-1011-20121126-23:46:56-15407,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.947822
Red8012154-1012.sca,Red8012154-1012-20121126-23:47:22-15423,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.945098
Red8012154-1013.sca,Red8012154-1013-20121126-23:47:27-15427,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.970437
Red8012154-1014.sca,Red8012154-1014-20121126-23:47:55-15443,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.943736
Red8012154-1015.sca,Red8012154-1015-20121126-23:47:55-15447,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.925962
Red8012154-1016.sca,Red8012154-1016-20121126-23:48:27-15466,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.94223
Red8012154-1017.sca,Red8012154-1017-20121126-23:48:28-15467,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.954518
Red8012154-1018.sca,Red8012154-1018-20121126-23:48:54-15483,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.955459
Red8012154-1019.sca,Red8012154-1019-20121126-23:48:58-15487,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.938194
Red8012154-102.sca,Red8012154-102-20121126-22:03:17-10684,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.949937
Red8012154-1020.sca,Red8012154-1020-20121126-23:49:27-15507,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.932303
Red8012154-1021.sca,Red8012154-1021-20121126-23:49:32-15511,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.964141
Red8012154-1022.sca,Red8012154-1022-20121126-23:49:57-15527,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.920111
Red8012154-1023.sca,Red8012154-1023-20121126-23:49:59-15528,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.934086
Red8012154-1024.sca,Red8012154-1024-20121126-23:50:24-15546,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.936484
Red8012154-1025.sca,Red8012154-1025-20121126-23:50:32-15553,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.933111
Red8012154-1026.sca,Red8012154-1026-20121126-23:50:54-15566,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.931918
Red8012154-1027.sca,Red8012154-1027-20121126-23:51:04-15573,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.942122
Red8012154-1028.sca,Red8012154-1028-20121126-23:51:26-15589,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.944981
Red8012154-1029.sca,Red8012154-1029-20121126-23:51:33-15593,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.923509
Red8012154-103.sca,Red8012154-103-20121126-22:03:25-10691,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.9875
Red8012154-1030.sca,Red8012154-1030-20121126-23:51:52-15606,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.939814
Red8012154-1031.sca,Red8012154-1031-20121126-23:52:04-15614,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.875374
Red8012154-1032.sca,Red8012154-1032-20121126-23:52:22-15627,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.927915
Red8012154-1033.sca,Red8012154-1033-20121126-23:52:31-15634,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.957417
Red8012154-1034.sca,Red8012154-1034-20121126-23:52:51-15649,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.896042
Red8012154-1035.sca,Red8012154-1035-20121126-23:53:04-15656,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.95529
Red8012154-1036.sca,Red8012154-1036-20121126-23:53:21-15669,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.932314
Red8012154-1037.sca,Red8012154-1037-20121126-23:53:32-15676,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.893823
Red8012154-1038.sca,Red8012154-1038-20121126-23:53:54-15689,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.936909
Red8012154-1039.sca,Red8012154-1039-20121126-23:54:02-15696,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.932243
Red8012154-104.sca,Red8012154-104-20121126-22:03:26-10692,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.961538
Red8012154-1040.sca,Red8012154-1040-20121126-23:54:25-15709,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.933656
Red8012154-1041.sca,Red8012154-1041-20121126-23:54:33-15716,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.942085
Red8012154-1042.sca,Red8012154-1042-20121126-23:54:55-15729,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.912694
Red8012154-1043.sca,Red8012154-1043-20121126-23:55:05-15736,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.907561
Red8012154-1044.sca,Red8012154-1044-20121126-23:55:32-15755,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.949837
Red8012154-1045.sca,Red8012154-1045-20121126-23:55:36-15759,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.953061
Red8012154-1046.sca,Red8012154-1046-20121126-23:56:03-15775,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.93258
Red8012154-1047.sca,Red8012154-1047-20121126-23:56:06-15779,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.949638
Red8012154-1048.sca,Red8012154-1048-20121126-23:56:31-15795,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.933185
Red8012154-1049.sca,Red8012154-1049-20121126-23:56:34-15796,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.921893
Red8012154-105.sca,Red8012154-105-20121126-22:03:33-10696,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.97913
Red8012154-1050.sca,Red8012154-1050-20121126-23:57:04-15816,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.930854
Red8012154-1051.sca,Red8012154-1051-20121126-23:57:05-15820,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.902129
Red8012154-1052.sca,Red8012154-1052-20121126-23:57:33-15836,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.906035
Red8012154-1053.sca,Red8012154-1053-20121126-23:57:35-15837,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.928423
Red8012154-1054.sca,Red8012154-1054-20121126-23:58:00-15856,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.946481
Red8012154-1055.sca,Red8012154-1055-20121126-23:58:03-15857,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.900998
Red8012154-1056.sca,Red8012154-1056-20121126-23:58:28-15873,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.880266
Red8012154-1057.sca,Red8012154-1057-20121126-23:58:36-15880,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.919548
Red8012154-1058.sca,Red8012154-1058-20121126-23:58:58-15894,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.930495
Red8012154-1059.sca,Red8012154-1059-20121126-23:59:08-15901,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.954455
Red8012154-106.sca,Red8012154-106-20121126-22:03:35-10697,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.962912
Red8012154-1060.sca,Red8012154-1060-20121126-23:59:27-15914,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.94237
Red8012154-1061.sca,Red8012154-1061-20121126-23:59:39-15921,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.901172
Red8012154-1062.sca,Red8012154-1062-20121126-23:59:59-15934,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.933445
Red8012154-1063.sca,Red8012154-1063-20121127-00:00:07-15943,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.947834
Red8012154-1064.sca,Red8012154-1064-20121127-00:00:32-15959,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.929418
Red8012154-1065.sca,Red8012154-1065-20121127-00:00:40-15963,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.891145
Red8012154-1066.sca,Red8012154-1066-20121127-00:01:01-15979,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.947988
